tabla;id;maquina;n_bloque;material;operacion;fecha_hora;create_date
parte_discopuente_mapeada;69970;1;45886;71;0;Tue Dec 22 2026 19:33:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69969;1;45886;71;0;Tue Dec 22 2026 18:45:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69968;1;45886;71;0;Tue Dec 22 2026 17:32:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69967;1;45573;71;0;Tue Dec 22 2026 14:03:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69966;1;45573;71;0;Tue Dec 22 2026 13:00:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69965;1;45573;71;0;Tue Dec 22 2026 08:30:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69964;1;46343;71;0;Tue Dec 22 2026 06:26:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69963;1;46326;71;0;Sat Dec 19 2026 20:06:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69962;1;46346;71;0;Sat Dec 19 2026 10:41:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69961;1;46224;71;0;Sat Dec 19 2026 07:09:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_trabajo_mapeada;52679;3;0;;0;Fri Dec 18 2026 20:56:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:00:05 GMT+0100 (hora estándar de Europa central)
parte_trabajo_mapeada;52678;2;0;;0;Fri Dec 18 2026 20:56:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:00:05 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69960;1;46461;;0;Fri Dec 18 2026 15:32:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
