pm;filas_lbc;filas_stock;productos_lbc;productos_stock;medidas_lbc_supplier;medidas_stock_supplier;es_bloque_o_material
47180;1;1;;314;2.700x1.750x1.750;2.700x1.750x1.750;true
47072;1;1;;314;3.000x1.600x0.950;3.000x1.600x0.950;true
47071;1;1;;314;1.600x1.600x0.950;1.600x1.600x0.950;true
47070;1;1;;314;2.150x0.650x1.650;2.150x0.650x1.650;true
47069;1;1;;314;2.550x1.800x0.950;2.550x1.800x0.950;true
47068;1;1;;314;1.900x1.800x1.650;1.900x1.800x1.650;true
47067;1;1;;314;1.750x1.700x0.750;1.750x1.700x0.750;true
47066;1;1;;314;1.450x1.350x1.150;1.450x1.350x1.150;true
47065;1;1;;314;1.500x1.650x1.900;1.500x1.650x1.900;true
47064;1;1;;314;2.200x1.750x1.550;2.200x1.750x1.550;true
47063;1;1;;314;2.800x1.200x1.050;2.800x1.200x1.050;true
47062;1;1;;314;3.100x0.750x1.450;3.100x0.750x1.450;true
47061;1;1;;314;2.400x1.600x1.100;2.400x1.600x1.100;true
47060;1;1;;314;2.400x1.300x1.100;2.400x1.300x1.100;true
47059;1;1;;314;2.500x1.700x1.450;2.500x1.700x1.450;true
47058;1;1;;314;2.700x1.650x1.550;2.700x1.650x1.550;true
47057;1;1;;314;1.800x1.450x1.700;1.800x1.450x1.700;true
47056;1;1;;314;1.950x1.450x1.050;1.950x1.450x1.050;true
47021;1;1;;3658;2.350x0.400x0.350;2.350x0.400x0.350;true
47020;1;1;;3658;1.670x0.650x0.330;1.670x0.650x0.330;true
47019;1;1;;3658;1.670x0.650x0.230;1.670x0.650x0.230;true
46945;1;1;;3656;2.100x1.550x0.800;2.100x1.550x0.800;true
46944;1;1;;3656;1.500x1.450x0.900;1.500x1.450x0.900;true
46943;1;1;;3656;2.100x1.450x0.750;2.100x1.450x0.750;true
46593;1;1;;314;250.000x1.950x1.550;250.000x1.950x1.550;true
46592;1;1;;314;0.000x0.000x0.000;0.000x0.000x0.000;true
46561;1;1;;314;1.900x0.500x1.450;1.900x0.500x1.450;true
46552;1;1;;314;2.700x1.450x1.000;2.700x1.450x1.000;true
46551;1;1;;314;2.350x1.100x1.550;2.350x1.100x1.550;true
46550;1;1;;314;3.100x1.700x0.550;3.100x1.700x0.550;true
46549;1;1;;314;3.200x0.800x1.750;3.200x0.800x1.750;true
46548;1;1;;314;1.700x1.400x0.900;1.700x1.400x0.900;true
46547;1;1;;314;1.500x1.350x0.800;1.500x1.350x0.800;true
46546;1;1;;314;1.500x1.700x0.850;1.500x1.700x0.850;true
46545;1;1;;314;1.600x1.150x0.900;1.600x1.150x0.900;true
46544;1;1;;314;2.800x1.200x0.750;2.800x1.200x0.750;true
46543;1;1;;314;2.850x1.800x0.450;2.850x1.800x0.450;true
